"term"	"term_count"	"x"	"group"	"included"
"ἑκάτερος"	6462	216	"lxx-nt"	TRUE
"δόξα"	6426	217	"lxx-nt"	TRUE
"μέγεθος"	6400	218	"lxx-nt"	TRUE
"ἐπειδή"	6392	219	"lxx-nt"	TRUE
"οἰκεῖος"	6375	220	"lxx-nt"	TRUE
"ἀναγκαῖος"	6358	221	"lxx-nt"	TRUE
"ἀμφότερος"	6306	222	"lxx-nt"	TRUE
"ἔτος"	6305	223	"lxx-nt"	TRUE
"οὐσία"	6265	224	"lxx-nt"	TRUE
"κύκλος"	6261	225	"lxx-nt"	TRUE
"ἵστημι"	6232	226	"lxx-nt"	TRUE
"ἔνιοι"	6222	227	"lxx-nt"	TRUE
"ἀξιόω"	6157	228	"lxx-nt"	TRUE
"ἐνταῦθα"	6079	229	"lxx-nt"	TRUE
"αἷμα"	6022	230	"lxx-nt"	TRUE
"ζητέω"	6013	231	"lxx-nt"	TRUE
"δῆλος"	6012	232	"lxx-nt"	TRUE
"οἶνος"	5983	233	"lxx-nt"	TRUE
"ἄξιος"	5979	234	"lxx-nt"	TRUE
"καθίστημι"	5974	235	"lxx-nt"	TRUE
"ἱερός"	5913	236	"lxx-nt"	TRUE
"ὑγρός"	5906	237	"lxx-nt"	TRUE
"ἕνεκα"	5882	238	"lxx-nt"	TRUE
"πάνυ"	5871	239	"lxx-nt"	TRUE
"τέλος"	5868	240	"lxx-nt"	TRUE
"φεύγω"	5866	241	"lxx-nt"	TRUE
"ποταμός"	5832	242	"lxx-nt"	TRUE
"ναῦς"	5826	243	"lxx-nt"	TRUE
"δηλόω"	5824	244	"lxx-nt"	TRUE
"ἀποθνῄσκω"	5803	245	"lxx-nt"	TRUE
"χρῆμα"	5796	246	"lxx-nt"	TRUE
"τροφή"	5793	247	"lxx-nt"	TRUE
"προλέγω"	5777	248	"lxx-nt"	TRUE
"διό"	5744	249	"lxx-nt"	TRUE
"ὁδός"	5732	250	"lxx-nt"	TRUE
"ἀριθμός"	5725	251	"lxx-nt"	TRUE
"σφεῖς"	5720	252	"outside-lxx-nt"	TRUE
"γοῦν"	5698	253	"lxx-nt"	TRUE
"ἀντί"	5659	254	"lxx-nt"	TRUE
"τέχνη"	5655	255	"lxx-nt"	TRUE
"φωνή"	5636	256	"lxx-nt"	TRUE
"αἴτιος"	5590	257	"lxx-nt"	TRUE
"μανθάνω"	5581	258	"lxx-nt"	TRUE
"ἕως"	5553	259	"lxx-nt"	TRUE
"νόος"	5550	260	"lxx-nt"	TRUE
"φυλάσσω"	5544	261	"lxx-nt"	TRUE
"σημεῖον"	5531	262	"lxx-nt"	TRUE
"δῆμος"	5530	263	"lxx-nt"	TRUE
"ἀπόλλυμι"	5527	264	"lxx-nt"	TRUE
"κρίνω"	5506	265	"lxx-nt"	TRUE
"προστίθημι"	5459	266	"lxx-nt"	TRUE
"αἱρέω"	5455	267	"lxx-nt"	TRUE
"μένω"	5452	268	"lxx-nt"	TRUE
"ἵππος"	5442	269	"lxx-nt"	TRUE
"ἱκανός"	5419	270	"lxx-nt"	TRUE
"κρατέω"	5408	271	"lxx-nt"	TRUE
"ἀδελφός"	5400	272	"lxx-nt"	TRUE
"κεῖμαι"	5384	273	"lxx-nt"	TRUE
"θάνατος"	5378	274	"lxx-nt"	TRUE
"ἐργάζομαι"	5377	275	"lxx-nt"	TRUE
"ἔπειτα"	5374	276	"lxx-nt"	TRUE
"κόσμος"	5318	277	"lxx-nt"	TRUE
"πίνω"	5310	278	"lxx-nt"	TRUE
"ῥᾴδιος"	5278	279	"lxx-nt"	TRUE
"Ἰησοῦς"	5247	280	"lxx-nt"	TRUE
"πέμπω"	5223	281	"lxx-nt"	TRUE
"δεινός"	5217	282	"lxx-nt"	TRUE
"ἥσσων"	5190	283	"lxx-nt"	TRUE
"ἥκω"	5185	284	"lxx-nt"	TRUE
"ἔθνος"	5096	285	"lxx-nt"	TRUE
"πιστεύω"	5086	286	"lxx-nt"	TRUE
"νύξ"	5081	287	"lxx-nt"	TRUE
"σχῆμα"	5038	288	"lxx-nt"	TRUE
"νέος"	5020	289	"lxx-nt"	TRUE
"δυνατός"	4997	290	"lxx-nt"	TRUE
"ἀναιρέω"	4992	291	"lxx-nt"	TRUE
"ψυχρός"	4991	292	"lxx-nt"	TRUE
"ἀφαιρέω"	4984	293	"lxx-nt"	TRUE
"ἥλιος"	4981	294	"lxx-nt"	TRUE
"ὕστερον"	4981	295	"lxx-nt"	TRUE
"σῴζω"	4967	296	"lxx-nt"	TRUE
"πρόσωπον"	4964	297	"lxx-nt"	TRUE
"ἀκριβής"	4946	298	"lxx-nt"	TRUE
"οἶκος"	4930	299	"lxx-nt"	TRUE
"φύω"	4924	300	"lxx-nt"	TRUE
"μάχη"	4921	301	"lxx-nt"	TRUE
"ὀφθαλμός"	4917	302	"lxx-nt"	TRUE
"οὐρανός"	4916	303	"lxx-nt"	TRUE
"καρδία"	4915	304	"lxx-nt"	TRUE
"ἰσχυρός"	4907	305	"lxx-nt"	TRUE
"εὖ"	4894	306	"lxx-nt"	TRUE
"ἀποδίδωμι"	4883	307	"lxx-nt"	TRUE
"θεῖος"	4883	308	"lxx-nt"	TRUE
"διδάσκω"	4864	309	"lxx-nt"	TRUE
"ἀφικνέομαι"	4832	310	"lxx-nt"	TRUE
"κάτω"	4804	311	"lxx-nt"	TRUE
"αὖ"	4798	312	"outside-lxx-nt"	TRUE
"που"	4777	313	"lxx-nt"	TRUE
"προσήκω"	4765	314	"lxx-nt"	TRUE
"χωρίον"	4731	315	"lxx-nt"	TRUE
"στόμα"	4672	316	"lxx-nt"	TRUE
"μακρός"	4659	317	"lxx-nt"	TRUE
"Ἀλέξανδρος"	4646	318	"lxx-nt"	TRUE
"τέσσαρες"	4644	319	"lxx-nt"	TRUE
"πλήν"	4632	320	"lxx-nt"	TRUE
"φανερός"	4613	321	"lxx-nt"	TRUE
"γένεσις"	4610	322	"lxx-nt"	TRUE
"ἡδονή"	4595	323	"lxx-nt"	TRUE
"λευκός"	4559	324	"lxx-nt"	TRUE
"διαφορά"	4544	325	"lxx-nt"	TRUE
"ὁμολογέω"	4532	326	"lxx-nt"	TRUE
"ἄνω"	4531	327	"lxx-nt"	TRUE
"σαφής"	4531	328	"lxx-nt"	TRUE
"ἀφίημι"	4495	329	"lxx-nt"	TRUE
"σκοπέω"	4485	330	"lxx-nt"	TRUE
"κρατύς"	4484	331	"lxx-nt"	TRUE
"γεννάω"	4467	332	"lxx-nt"	TRUE
"αὖθις"	4461	333	"outside-lxx-nt"	TRUE
"σημαίνω"	4452	334	"lxx-nt"	TRUE
"καίτοι"	4436	335	"lxx-nt"	TRUE
"ὥρα"	4426	336	"lxx-nt"	TRUE
"βραχύς"	4415	337	"lxx-nt"	TRUE
"ὄρος"	4415	338	"lxx-nt"	TRUE
"δίκη"	4409	339	"lxx-nt"	TRUE
"ἀπέρχομαι"	4395	340	"lxx-nt"	TRUE
"δέχομαι"	4378	341	"lxx-nt"	TRUE
"ἐκεῖ"	4363	342	"lxx-nt"	TRUE
"συνίστημι"	4349	343	"lxx-nt"	TRUE
"ἀδικέω"	4346	344	"lxx-nt"	TRUE
"ὕλη"	4339	345	"lxx-nt"	TRUE
"μήτηρ"	4312	346	"lxx-nt"	TRUE
"εἰσέρχομαι"	4297	347	"lxx-nt"	TRUE
"στρατηγός"	4285	348	"lxx-nt"	TRUE
"καταλείπω"	4258	349	"lxx-nt"	TRUE
"ἡδύς"	4236	350	"lxx-nt"	TRUE
"γνώμη"	4223	351	"lxx-nt"	TRUE
"ἔξω"	4216	352	"lxx-nt"	TRUE
"ἀλήθεια"	4201	353	"lxx-nt"	TRUE
"νικάω"	4186	354	"lxx-nt"	TRUE
"ἐμός"	4166	355	"lxx-nt"	TRUE
"μῦς"	4164	356	"lxx-nt"	TRUE
"ἀήρ"	4162	357	"lxx-nt"	TRUE
"τέλειος"	4152	358	"lxx-nt"	TRUE
"νόσος"	4137	359	"lxx-nt"	TRUE
"σάρξ"	4118	360	"lxx-nt"	TRUE
"αἴσθησις"	4109	361	"lxx-nt"	TRUE
"ὀστέον"	4104	362	"lxx-nt"	TRUE
"πρέσβυς"	4102	363	"lxx-nt"	TRUE
"χωρίς"	4102	364	"lxx-nt"	TRUE
"ἐνέργεια"	4094	365	"lxx-nt"	TRUE
"Καῖσαρ"	4088	366	"lxx-nt"	TRUE
"Λακεδαιμόνιος"	4085	367	"lxx-nt"	TRUE
"θαυμάζω"	4065	368	"lxx-nt"	TRUE
"πρᾶξις"	4035	369	"lxx-nt"	TRUE
"παλαιός"	3996	370	"lxx-nt"	TRUE
"ὅθεν"	3987	371	"lxx-nt"	TRUE
"πρίν"	3980	372	"lxx-nt"	TRUE
"παύω"	3960	373	"lxx-nt"	TRUE
"λίθος"	3954	374	"lxx-nt"	TRUE
"ξηρός"	3954	375	"lxx-nt"	TRUE
"χρεία"	3946	376	"lxx-nt"	TRUE
"πυρετός"	3940	377	"lxx-nt"	TRUE
"συνεχής"	3935	378	"outside-lxx-nt"	TRUE
"περιέχω"	3931	379	"lxx-nt"	TRUE
"τελευτάω"	3931	380	"lxx-nt"	TRUE
"νοέω"	3908	381	"lxx-nt"	TRUE
"χαλεπός"	3904	382	"lxx-nt"	TRUE
"παραδίδωμι"	3903	383	"lxx-nt"	TRUE
"ἐξέρχομαι"	3889	384	"lxx-nt"	TRUE
"λαός"	3862	385	"lxx-nt"	TRUE
"ἤτοι"	3857	386	"lxx-nt"	TRUE
"τιμή"	3857	387	"lxx-nt"	TRUE
"ἀδύνατος"	3842	388	"lxx-nt"	TRUE
"ἰατρός"	3833	389	"lxx-nt"	TRUE
"καταλαμβάνω"	3824	390	"lxx-nt"	TRUE
"στάδιον"	3788	391	"lxx-nt"	TRUE
"ἑξῆς"	3786	392	"lxx-nt"	TRUE
"διάθεσις"	3780	393	"lxx-nt"	TRUE
"λεπτός"	3780	394	"lxx-nt"	TRUE
"οἰκία"	3779	395	"lxx-nt"	TRUE
"ὀξύς"	3777	396	"lxx-nt"	TRUE
"ἴσως"	3774	397	"lxx-nt"	TRUE
"τάσσω"	3763	398	"lxx-nt"	TRUE
"σοφός"	3737	399	"lxx-nt"	TRUE
"κωλύω"	3736	400	"lxx-nt"	TRUE
"τρέφω"	3730	401	"lxx-nt"	TRUE
"ἄνευ"	3724	402	"lxx-nt"	TRUE
"τεῖχος"	3717	403	"lxx-nt"	TRUE
"Α"	3685	404	"outside-lxx-nt"	TRUE
"ὅπλον"	3684	405	"lxx-nt"	TRUE
"διαφθείρω"	3674	406	"lxx-nt"	TRUE
"ἐάω"	3674	407	"lxx-nt"	TRUE
"ἐσθίω"	3673	408	"lxx-nt"	TRUE
