"cluster_id"	"lemma"	"intracluster_fit_percentage"
1	"εὐταξία"	32.6
1	"γοητεία"	32.1
1	"ἐξυβρίζω"	31.7
1	"ἐπιβουλή"	31.2
1	"ἀμέλγω"	30.7
1	"ἀναδίδωμι"	30.3
1	"κατοπτεύω"	29.8
1	"ἐμπήγνυμι"	29.4
1	"συζεύγνυμι"	28.9
1	"πτῶμα"	28.4
1	"μαίνομαι"	28
1	"ἐκβοάω"	27.5
1	"ὁμοθυμαδόν"	27.1
1	"ἀέκων"	26.6
1	"παρακούω"	26.1
1	"ἐγκλίνω"	25.7
1	"σχεδιάζω"	25.2
1	"ἐξεμέω"	24.8
1	"καταδέχομαι"	24.3
1	"ἀναβοάω"	23.9
1	"κυρόω"	23.4
1	"ἐπεκτείνω"	22.9
1	"καταράομαι"	22.5
1	"κώθων"	22
1	"πνίγω"	21.6
1	"δραπέτης"	21.1
1	"προσφύω"	20.6
1	"συναυξάνω"	20.2
1	"παραρρέω"	19.7
1	"ἰδιότης"	19.3
1	"ἀλλαχοῦ"	18.8
1	"ὀλισθάνω"	18.3
1	"ἐπιδημέω"	17.9
1	"ἐκπνέω"	17.4
1	"παραφρονέω"	17
1	"μετασκευάζω"	16.5
1	"ἀνακάμπτω"	16.1
1	"ἐποτρύνω"	15.6
1	"δόλος"	15.1
1	"εἰρηνεύω"	14.7
1	"σύνοδος"	14.2
1	"καταχώννυμι"	13.8
1	"ἐμβολή"	13.3
1	"ὕπαρξις"	12.8
1	"πολλαχῶς"	12.4
1	"ἀποφράσσω"	11.9
1	"ἐξοχή"	11.5
1	"ὁμοιόω"	11
1	"ἱππασία"	10.6
1	"διατρέπω"	10.1
1	"ἀποσοβέω"	9.6
1	"ἐφαρμόζω"	9.2
1	"ἐμπορία"	8.7
1	"εὐφημέω"	8.3
1	"ᾍδης"	7.8
1	"σύμφημι"	7.3
1	"ἐπάνοδος"	6.9
1	"Νικόδημος"	6.4
1	"ἐντάσσω"	6
1	"ἐνέδρα"	5.5
1	"ἀκολουθία"	5
1	"ἀποστασία"	4.6
1	"συμπορεύομαι"	4.1
1	"κακολογέω"	3.7
1	"κυνηγός"	3.2
1	"πονηρεύομαι"	2.8
1	"στέγω"	2.3
1	"ἐπιβρίθω"	1.8
1	"μωρία"	1.4
1	"σαρκοφαγέω"	0.9
1	"γεώργιον"	0.5
1	"ἄνυδρος"	0
2	"προετοιμάζω"	100
2	"κατασκιάζω"	99.5
2	"ἐξαναλόω"	99
2	"στολίζω"	98.6
2	"χαραδριός"	98.1
2	"ψυκτήρ"	97.6
2	"ἀποξύω"	97.1
2	"θίασος"	96.6
2	"κατασκηνάω"	96.1
2	"συμβιωτής"	95.7
2	"παραριθμέω"	95.2
2	"Αὐρανῖτις"	94.7
2	"Χεττούρα"	94.2
2	"Ἀώδ"	93.7
2	"ὑπουργός"	93.2
2	"Αὐνάν"	92.8
2	"ἐκτιλάω"	92.3
2	"ἀνταναπληρόω"	91.8
2	"ἀπέρδω"	91.3
2	"διανοέομαι"	90.8
2	"δυσβάστακτος"	90.3
2	"ἐπαναπαύω"	89.9
2	"ἀρχιδεσμοφύλαξ"	89.4
2	"μεθοδεύω"	88.9
2	"προσονομάζω"	88.4
2	"ἀφιερόω"	87.9
2	"εἰστιτρώσκω"	87.4
2	"παραπηδάω"	87
2	"χολάω"	86.5
2	"Ἀπολλωνία"	86
2	"περιδύω"	85.5
2	"ποικιλτής"	85
2	"Εὔτυχος"	84.5
2	"Μάνης"	84.1
2	"καθυπνόω"	83.6
2	"διεμβάλλω"	83.1
2	"θεομαχέω"	82.6
2	"ἀναδενδράς"	82.1
2	"διακατέχω"	81.6
2	"δυσημερία"	81.2
2	"Ἤ"	80.7
2	"γραφήω"	80.2
2	"ἐπίχειρα"	79.7
2	"κατοικεσία"	79.2
2	"ἀφυπνόω"	78.7
2	"μυκάομαι"	78.3
2	"ψευδολογέω"	77.8
2	"πρόσχωμα"	77.3
2	"συκάζω"	76.8
2	"Πρισκίλλα"	76.3
2	"Ἔσδρα"	75.8
2	"ἐπιθύω"	75.4
2	"στηλόω"	74.9
2	"Σαμαά"	74.4
2	"συμμαίνομαι"	73.9
2	"εὐοδέω"	73.4
2	"μισοπονηρέω"	72.9
2	"ἀνεπιεικής"	72.5
2	"ἀπαρτία"	72
2	"κορύνη"	71.5
2	"διυφαίνω"	71
2	"φαυλίζω"	70.5
2	"εἰσκυκλέω"	70
2	"χειρονομία"	69.6
2	"Νετωφαθί"	69.1
2	"Ἐνακίμ"	68.6
2	"στεγάζω"	68.1
2	"Ἐλυμαῖοι"	67.6
2	"ἀνήλατος"	67.1
2	"ποικιλτικός"	66.7
2	"Ὀλοφέρνης"	66.2
2	"ὑπερτιμάω"	65.7
2	"συμπραγματεύομαι"	65.2
2	"λάβωμι"	64.7
2	"Ἰώσηφος"	64.3
2	"Ἤρ"	63.8
2	"συνιέω"	63.3
2	"εἰκοσιεννέα"	62.8
2	"Βασεμάθ"	62.3
2	"ἱερόθυτος"	61.8
2	"κύκλωμα"	61.4
2	"Τωβίτ"	60.9
2	"Σοκχώθ"	60.4
2	"Ναός"	59.9
2	"τετράδραχμος"	59.4
2	"διαβλέπω"	58.9
2	"Κενδεβαῖος"	58.5
2	"διαπαρθενεύω"	58
2	"Γεδσούρ"	57.5
2	"Ἰωαχίμ"	57
2	"διαπραγματεύομαι"	56.5
2	"λιμοκτονέω"	56
2	"Ἐσήλ"	55.6
2	"παραδοξάζω"	55.1
2	"ἰσοπολίτης"	54.6
2	"Ἀκκαρών"	54.1
2	"συμμερίζω"	53.6
2	"συζυγέω"	53.1
2	"πολυπλάσιος"	52.7
2	"λιποθυμέω"	52.2
2	"ῥαββί"	51.7
2	"πλατυσμός"	51.2
2	"συρισμός"	50.7
2	"ἐτασμός"	50.2
2	"δηνάριον"	49.8
2	"κατάξηρος"	49.3
2	"Ὀλόφερνος"	48.8
2	"Ἀζάηλος"	48.3
2	"συνωδίνω"	47.8
2	"σάρδιον"	47.3
2	"πλινθεύω"	46.9
2	"Ζεχρί"	46.4
2	"σεβαστός"	45.9
2	"Κλαυδία"	45.4
2	"Βαραχίας"	44.9
2	"Τραχωνῖται"	44.4
2	"Ἀδάδ"	44
2	"μακαρίως"	43.5
2	"Ματθανίας"	43
2	"Ὡς"	42.5
2	"ἀσυρής"	42
2	"γοερός"	41.5
2	"Σωβάλ"	41.1
2	"Βααλείμ"	40.6
2	"Φαρές"	40.1
2	"Αβρααμ"	39.6
2	"ἀνανήφω"	39.1
2	"δεκάχορδος"	38.6
2	"Ἐγώ"	38.2
2	"Χαρράν"	37.7
2	"Νάβαλ"	37.2
2	"Ἀβιγαία"	36.7
2	"ἐφοδιάζω"	36.2
2	"ἐξαρσις"	35.7
2	"κατάγαιος"	35.3
2	"Γοθολία"	34.8
2	"Νινευη"	34.3
2	"γηραιός"	33.8
2	"εἴποτε"	33.3
2	"ἐγκεντρίζω"	32.9
2	"κατακυλίνδω"	32.4
2	"μαρσίππιον"	31.9
2	"ψελλίζω"	31.4
2	"ἐκπειράζω"	30.9
2	"σεληνιάζομαι"	30.4
2	"παροτρύνω"	30
2	"κυοφορία"	29.5
2	"ἀλάλητος"	29
2	"ἀχανής"	28.5
2	"ἀπόλοιπος"	28
2	"Σέργιος"	27.5
2	"Σερούχ"	27.1
2	"αἰλεῦ"	26.6
2	"προσδέομαι"	26.1
2	"κοπετός"	25.6
2	"ἰσόψυχος"	25.1
2	"παράφρων"	24.6
2	"ψαλτήριον"	24.2
2	"κεφαλαιόω"	23.7
2	"διασκευή"	23.2
2	"τρεισκονταεπτά"	22.7
2	"Γεδώρ"	22.2
2	"προσψαύω"	21.7
2	"ἀνερευνάω"	21.3
2	"Μαασίας"	20.8
2	"Γιεζί"	20.3
2	"ἀφιλάργυρος"	19.8
2	"βοσακέω"	19.3
2	"Ἀχιέζερ"	18.8
2	"χαιρετίζω"	18.4
2	"ριζή"	17.9
2	"Ἀδῆ"	17.4
2	"πέλυξ"	16.9
2	"ἀπίων"	16.4
2	"πεντηκονταετής"	15.9
2	"κυριεία"	15.5
2	"ἐφύβριστος"	15
2	"Γαάλ"	14.5
2	"Ῥεμμάθ"	14
2	"ἄμελξις"	13.5
2	"Βαιθσοῦρα"	13
2	"ἐνεξουσιάζω"	12.6
2	"σποδοειδής"	12.1
2	"Σίκιμοι"	11.6
2	"χρηστεύομαι"	11.1
2	"Λασθένης"	10.6
2	"ποσαχῶς"	10.1
2	"προσόζλυμι"	9.7
2	"κενοφωνία"	9.2
2	"Σεπφώρα"	8.7
2	"τεσσαρακονταετής"	8.2
2	"Κίς"	7.7
2	"Ἰεσίας"	7.2
2	"Θεκωέ"	6.8
2	"εἰρηνοποιός"	6.3
2	"ἀλληλούϊος"	5.8
2	"Χετταῖοι"	5.3
2	"Μαγδαληνή"	4.8
2	"Μασέκ"	4.3
2	"ἀγαλλίαμα"	3.9
2	"ὀνυχιστήρ"	3.4
2	"Ναζωραῖος"	2.9
2	"διακύπτω"	2.4
2	"λεωπετρία"	1.9
2	"ξύρησις"	1.4
2	"ἄρδην"	1
2	"Φαάθ"	0.5
2	"σκεπαστής"	0
3	"πιαίνω"	100
3	"ἀπαράσσω"	99.5
3	"λοχάω"	99
3	"διφθέρα"	98.5
3	"προβάλλω"	98
3	"διασκάπτω"	97.5
3	"ὑποδύω"	97
3	"βακτηρία"	96.6
3	"ἀποσείω"	96.1
3	"ἄγχω"	95.6
3	"περιάπτω"	95.1
3	"διασείω"	94.6
3	"καλλωπίζω"	94.1
3	"προσαγγέλλω"	93.6
3	"θραύω"	93.1
3	"σινδών"	92.6
3	"διαρρίπτω"	92.1
3	"στέμφυλον"	91.6
3	"προτείνω"	91.1
3	"ἀποκλίνω"	90.6
3	"σκεπάζω"	90.1
3	"ὀβελίσκος"	89.7
3	"τυφλόω"	89.2
3	"ἐξαρπάζω"	88.7
3	"κάπηλος"	88.2
3	"φαυλότης"	87.7
3	"πέταλον"	87.2
3	"μάγειρος"	86.7
3	"ἐπιφύω"	86.2
3	"ἐνδελεχής"	85.7
3	"συναρπάζω"	85.2
3	"ἐπαυξάνω"	84.7
3	"στίγμα"	84.2
3	"ἐκκρούω"	83.7
3	"μίτρα"	83.3
3	"κρανίον"	82.8
3	"κρίκος"	82.3
3	"ἐπερείδω"	81.8
3	"εὐμεγέθης"	81.3
3	"στήριγμα"	80.8
3	"προδηλόω"	80.3
3	"πολιά"	79.8
3	"πλόκαμος"	79.3
3	"πλέκω"	78.8
3	"Λαοδίκεια"	78.3
3	"δήμιος"	77.8
3	"προσδίδωμι"	77.3
3	"κατατοξεύω"	76.8
3	"οἶστρος"	76.4
3	"διερεθίζω"	75.9
3	"δυσσεβής"	75.4
3	"ἀμφιλαφής"	74.9
3	"κλῄζω"	74.4
3	"ἔρεισμα"	73.9
3	"ἐκρίπτω"	73.4
3	"βαλλάντιον"	72.9
3	"συσπάω"	72.4
3	"ἐγχειρίδιον"	71.9
3	"εὐειδής"	71.4
3	"τροχός"	70.9
3	"θυρωρός"	70.4
3	"ἐπιμήκης"	70
3	"ῥόπαλον"	69.5
3	"Νικάνωρ"	69
3	"ὑποστόρεννυμι"	68.5
3	"μάστιξ"	68
3	"χαλινός"	67.5
3	"μεγαλεῖος"	67
3	"ἐξέχω"	66.5
3	"κώδων"	66
3	"πήρα"	65.5
3	"ἐπιθεωρέω"	65
3	"σκόπελος"	64.5
3	"Φιλήμων"	64
3	"ὀθόνη"	63.5
3	"φιλαδελφία"	63.1
3	"λαβή"	62.6
3	"σχοινίον"	62.1
3	"σειρά"	61.6
3	"ἄτρακτος"	61.1
3	"μετακομίζω"	60.6
3	"πρόσοψις"	60.1
3	"παραλογίζομαι"	59.6
3	"κατάγνωσις"	59.1
3	"παραναγιγνώσκω"	58.6
3	"λάρος"	58.1
3	"φωλεός"	57.6
3	"θεσμός"	57.1
3	"τριόδους"	56.7
3	"διανίστημι"	56.2
3	"ἀντιπίπτω"	55.7
3	"σεμνολογέω"	55.2
3	"οἰνοχοέω"	54.7
3	"πίτυς"	54.2
3	"Δημοφῶν"	53.7
3	"ἔμπυρος"	53.2
3	"ὅρμος"	52.7
3	"ζήτημα"	52.2
3	"βλαστάω"	51.7
3	"δεκαπέντε"	51.2
3	"εἰσπηδάω"	50.7
3	"λεχώ"	50.2
3	"ἧλος"	49.8
3	"κατάδυσις"	49.3
3	"ἡνίοχος"	48.8
3	"συναλγέω"	48.3
3	"κέρμα"	47.8
3	"ἀγκύλη"	47.3
3	"ἐνέχυρον"	46.8
3	"Μυσία"	46.3
3	"Βορέας"	45.8
3	"ἐπίχειρον"	45.3
3	"Ἡλιόδωρος"	44.8
3	"ἡνία"	44.3
3	"ἀδάμας"	43.8
3	"πυκτεύω"	43.3
3	"πορνικός"	42.9
3	"γαλέη"	42.4
3	"ἱερόσυλος"	41.9
3	"Μάλχος"	41.4
3	"ἐπίθεμα"	40.9
3	"ἄτεκνος"	40.4
3	"ἀνήνυτος"	39.9
3	"κατακρημνίζω"	39.4
3	"κοπόω"	38.9
3	"ὑπόγυιος"	38.4
3	"ἐκκόπτω"	37.9
3	"ἀπομερίζω"	37.4
3	"θυγάτριον"	36.9
3	"στίλβω"	36.5
3	"μετοικέω"	36
3	"κρούω"	35.5
3	"στεφάνη"	35
3	"ἀσύμφορος"	34.5
3	"ξεστός"	34
3	"τινάσσω"	33.5
3	"ἴνδαλμα"	33
3	"παρανοχλέω"	32.5
3	"παρεισέρχομαι"	32
3	"κατάπληξις"	31.5
3	"ταμιεῖον"	31
3	"φρυάσσομαι"	30.5
3	"ἐπικουφίζω"	30
3	"συκάμινος"	29.6
3	"Ἀρσινόη"	29.1
3	"μοχλός"	28.6
3	"καταμαρτυρέω"	28.1
3	"ἀσβόλη"	27.6
3	"ἱνατί"	27.1
3	"προσαγωγή"	26.6
3	"δεξιά"	26.1
3	"ἀπαράλλακτος"	25.6
3	"ἐπικρεμάννυμι"	25.1
3	"θυμόω"	24.6
3	"δόλιος"	24.1
3	"παραγγελία"	23.6
3	"μακαριστός"	23.2
3	"βεβαίωσις"	22.7
3	"κάτοχος"	22.2
3	"ῥαβδοῦχος"	21.7
3	"ἔνδυμα"	21.2
3	"ἀροτριάω"	20.7
3	"δύσχρηστος"	20.2
3	"πάλη"	19.7
3	"ἔμπνους"	19.2
3	"γραώδης"	18.7
3	"ἐγκαθίημι"	18.2
3	"Τωβια"	17.7
3	"σιτοποιός"	17.2
3	"Ἀδωνίας"	16.7
3	"συνεισέρχομαι"	16.3
3	"ζεύγνυμι"	15.8
3	"εὐάλωτος"	15.3
3	"δαιμονιώδης"	14.8
3	"πυγμή"	14.3
3	"κατατήκω"	13.8
3	"πένομαι"	13.3
3	"ὑάλινος"	12.8
3	"ἐκδέρω"	12.3
3	"ῥομφαία"	11.8
3	"Σαλώμη"	11.3
3	"θηρευτής"	10.8
3	"ὑποζώννυμι"	10.3
3	"ἐκτίκτω"	9.9
3	"κρυσταλλοειδής"	9.4
3	"σέβομαι"	8.9
3	"χήρα"	8.4
3	"παγίς"	7.9
3	"ἀναίτιος"	7.4
3	"περίλυπος"	6.9
3	"ἀνόμοιος"	6.4
3	"ἀντίγραφον"	5.9
3	"ἀκληρέω"	5.4
3	"αἴλουρος"	4.9
3	"φλόγινος"	4.4
3	"κυπαρίσσινος"	3.9
3	"ὀρφανός"	3.4
3	"κάλυμμα"	3
3	"παραχειμασία"	2.5
3	"παράκλητος"	2
3	"πλάξ"	1.5
3	"τύμπανον"	1
3	"καυλός"	0.5
3	"ἄξων"	0
4	"ἀποψύχω"	100
4	"ἀνωφελής"	99.5
4	"ἐπιστομίζω"	99
4	"τεταγμένως"	98.5
4	"ἤπιος"	98
4	"ταπεινότης"	97.4
4	"πολύτροπος"	96.9
4	"καταγγέλλω"	96.4
4	"ἄβρωτος"	95.9
4	"ἀνδρόγυνος"	95.4
4	"μεθύσκω"	94.9
4	"Σωσθένης"	94.4
4	"εὐεργετικός"	93.9
4	"σαπρός"	93.4
4	"μετέπειτα"	92.9
4	"συμπολεμέω"	92.3
4	"ἐπιτερπής"	91.8
4	"καθυβρίζω"	91.3
4	"φειδωλός"	90.8
4	"μιαιφόνος"	90.3
4	"ἐντρεχής"	89.8
4	"ἀπερίσπαστος"	89.3
4	"ποδάγρα"	88.8
4	"ἐξόλλυμι"	88.3
4	"αὔτεος"	87.8
4	"Πέργαμος"	87.2
4	"δεσμεύω"	86.7
4	"δασύπους"	86.2
4	"ἀνταπόδοσις"	85.7
4	"ἄπληστος"	85.2
4	"τελεσιουργέω"	84.7
4	"σκηνόω"	84.2
4	"μεμψίμοιρος"	83.7
4	"μανιώδης"	83.2
4	"ἀποστάτης"	82.7
4	"περιστολή"	82.1
4	"ἐκλαλέω"	81.6
4	"φονεύς"	81.1
4	"ἀντίτυπος"	80.6
4	"ἐφοδεύω"	80.1
4	"φειδώ"	79.6
4	"ἅλμα"	79.1
4	"ἀνέφικτος"	78.6
4	"καταφερής"	78.1
4	"μισητός"	77.6
4	"φυή"	77
4	"εὐπρόσωπος"	76.5
4	"Ἰουδαικός"	76
4	"κλῆμα"	75.5
4	"αὐθέντης"	75
4	"συγκαταφέρω"	74.5
4	"ἄπολις"	74
4	"ἄμητος"	73.5
4	"ἀντερείδω"	73
4	"προασπίζω"	72.4
4	"ἀλυσιτελής"	71.9
4	"ἀποστολή"	71.4
4	"παραβλέπω"	70.9
4	"σπαταλάω"	70.4
4	"διανεύω"	69.9
4	"αἴτησις"	69.4
4	"μεῖραξ"	68.9
4	"ἀλόγιστος"	68.4
4	"ἀνόνητος"	67.9
4	"ὑπερηφανία"	67.3
4	"ἔσθω"	66.8
4	"ἀδιάκριτος"	66.3
4	"ἀπεχθής"	65.8
4	"ἐπίμοχθος"	65.3
4	"καταδυναστεύω"	64.8
4	"ἐμπορεύομαι"	64.3
4	"βαθύνω"	63.8
4	"ἐναθλέω"	63.3
4	"παροψίς"	62.8
4	"συναγελάζομαι"	62.2
4	"ἐπιγνώμων"	61.7
4	"σκιρτάω"	61.2
4	"πολυμερής"	60.7
4	"ὀστρακώδης"	60.2
4	"εὐάρεστος"	59.7
4	"φιλομαθής"	59.2
4	"ἀγαπάζω"	58.7
4	"ἐντυλίσσω"	58.2
4	"ἄνοος"	57.7
4	"συριγμός"	57.1
4	"καθηλόω"	56.6
4	"πλάνος"	56.1
4	"συνθάπτω"	55.6
4	"λυμεών"	55.1
4	"ὀνομαστός"	54.6
4	"ἁμαρτέω"	54.1
4	"συναναστρέφω"	53.6
4	"θέλησις"	53.1
4	"καταστολή"	52.6
4	"ὄνησις"	52
4	"γαλαθηνός"	51.5
4	"πῖος"	51
4	"Πατήρ"	50.5
4	"ὁδηγέω"	50
4	"ἀρεστός"	49.5
4	"σκῶλος"	49
4	"διαδιαιτάω"	48.5
4	"ἄρρηκτος"	48
4	"εἴδησις"	47.4
4	"ἀπειθής"	46.9
4	"κατάστημα"	46.4
4	"ἔκχυσις"	45.9
4	"πέμμα"	45.4
4	"ἄκακος"	44.9
4	"ἀβουλία"	44.4
4	"συμφύρω"	43.9
4	"ἀπολύτρωσις"	43.4
4	"μελῳδία"	42.9
4	"ἔκθυμος"	42.3
4	"διασφάλλω"	41.8
4	"μέλαν"	41.3
4	"κατάληψις"	40.8
4	"εἰσδύνω"	40.3
4	"διϊκνέομαι"	39.8
4	"ἱππεύω"	39.3
4	"κατάκλειστος"	38.8
4	"Ἀστάρτη"	38.3
4	"παρατήρησις"	37.8
4	"ἄπλαστος"	37.2
4	"κρηπίς"	36.7
4	"δεκάμηνος"	36.2
4	"ἐκπλήρωσις"	35.7
4	"ἐλεήμων"	35.2
4	"χυδαῖος"	34.7
4	"κακοποιέω"	34.2
4	"περιοικοδομέω"	33.7
4	"σαρκικός"	33.2
4	"ζωπυρέω"	32.7
4	"συνυποκρίνομαι"	32.1
4	"ὕπαιθρος"	31.6
4	"κατατομή"	31.1
4	"ζόφος"	30.6
4	"Εὐαῖοι"	30.1
4	"πικρία"	29.6
4	"ὑπερηφανέω"	29.1
4	"ἐπαινετός"	28.6
4	"δράγμα"	28.1
4	"φίλανδρος"	27.6
4	"μιμητής"	27
4	"εἰδωλολατρία"	26.5
4	"γενετή"	26
4	"ἀνάλγητος"	25.5
4	"Ῥαγουῆλος"	25
4	"γένημα"	24.5
4	"σπειρηδόν"	24
4	"ἀνάκλισις"	23.5
4	"ἀνταποδίδωμι"	23
4	"εὐσεβέω"	22.4
4	"ἐλαττονόω"	21.9
4	"ἀρνίον"	21.4
4	"πολυμερῶς"	20.9
4	"ὄρυξ"	20.4
4	"εἰλικρίνεια"	19.9
4	"κλέπτης"	19.4
4	"ψαλτῳδός"	18.9
4	"ἄκμων"	18.4
4	"λύτρωσις"	17.9
4	"βαρυθυμέω"	17.3
4	"ὑπερβαλλόντως"	16.8
4	"Γαλααδῖτις"	16.3
4	"προαδικέω"	15.8
4	"Κηφᾶς"	15.3
4	"οἰκτίρμων"	14.8
4	"ἀναστρατοπεδεύω"	14.3
4	"ἐφικτός"	13.8
4	"ἁγιασμός"	13.3
4	"ἀδαμάντινος"	12.8
4	"βαθμός"	12.2
4	"Ἰεβουσαῖος"	11.7
4	"ψύλλος"	11.2
4	"καταθύμιος"	10.7
4	"ἀναμέσον"	10.2
4	"ἑλικτός"	9.7
4	"Μαλελεήλ"	9.2
4	"Κέδρος"	8.7
4	"ἅρπαξ"	8.2
4	"κύκνειος"	7.7
4	"πλεονέκτης"	7.1
4	"ἐπήκοος"	6.6
4	"οἰκογενής"	6.1
4	"ἀδιάστροφος"	5.6
4	"ὀλιγοστός"	5.1
4	"αἰλαμμώ"	4.6
4	"Ναζαρηνός"	4.1
4	"μέτοχος"	3.6
4	"ὁμόσπονδος"	3.1
4	"ἐπιθυμητός"	2.6
4	"ἐκκαθαρίζω"	2
4	"μηλωτή"	1.5
4	"Καϊνᾶν"	1
4	"σκοτία"	0.5
4	"ἀπεναντίον"	0
5	"ἀνεγείρω"	100
5	"διαδιδράσκω"	99.4
5	"διακινέω"	98.9
5	"καταπραύνω"	98.3
5	"συνεπισκέπτομαι"	97.7
5	"ἐνέχω"	97.1
5	"ἀστράπτω"	96.6
5	"σανίς"	96
5	"γόος"	95.4
5	"ἀποσκοπέω"	94.8
5	"ἐποικοδομέω"	94.3
5	"προσμένω"	93.7
5	"μονόω"	93.1
5	"κωλυτικός"	92.5
5	"ἀναπνεύω"	92
5	"χορτάζω"	91.4
5	"εὐπείθεια"	90.8
5	"προσκρούω"	90.2
5	"ἀναψύχω"	89.7
5	"προσοράω"	89.1
5	"μασάομαι"	88.5
5	"ἱμείρω"	87.9
5	"μαστίζω"	87.4
5	"ὁδοιπορέω"	86.8
5	"λεληθότως"	86.2
5	"προσκόπτω"	85.6
5	"Ταρσός"	85.1
5	"ψοφέω"	84.5
5	"ἐκνεύω"	83.9
5	"ὑπερχέω"	83.3
